year,region,welfare_function,rho,eta,inequality_aversion,sufficiency_threshold,egality_strictness,physical_damage_per_capita,discount_factor,plotted_value,plotted_value_description,welfare_loss_damage_scalar,model_native_welfare_loss_note
2045,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.22970180448124222,1.0,0.22970180448124222,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2046,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.24294059057309964,1.0,0.24294059057309964,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2047,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.25773592270287293,1.0,0.25773592270287293,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2048,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.2738784970226791,1.0,0.2738784970226791,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2049,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.29073510708768885,1.0,0.29073510708768885,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2050,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.3076420941212735,1.0,0.3076420941212735,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2051,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.32390998614556565,1.0,0.32390998614556565,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2052,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.33883006621705275,1.0,0.33883006621705275,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2053,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.35338830214505107,1.0,0.35338830214505107,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2054,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.3682678639784396,1.0,0.3682678639784396,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2055,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.383585184252034,1.0,0.383585184252034,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2056,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.40044368507280576,1.0,0.40044368507280576,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2057,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.4189438787069762,1.0,0.4189438787069762,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2058,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.4391814823570611,1.0,0.4391814823570611,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2059,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.45990588483038986,1.0,0.45990588483038986,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2060,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.480386927560229,1.0,0.480386927560229,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2061,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.5018965438945194,1.0,0.5018965438945194,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2062,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.5229742794631149,1.0,0.5229742794631149,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2063,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.5432650749925223,1.0,0.5432650749925223,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2064,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.5635454768291452,1.0,0.5635454768291452,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2065,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.5845160311012194,1.0,0.5845160311012194,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2066,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.6072951212877237,1.0,0.6072951212877237,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2067,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.631298675497423,1.0,0.631298675497423,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2068,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.6573876505118903,1.0,0.6573876505118903,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2069,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.6856768030150053,1.0,0.6856768030150053,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2070,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.714881930085908,1.0,0.714881930085908,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2071,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.7441334219052566,1.0,0.7441334219052566,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2072,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.7722322373566968,1.0,0.7722322373566968,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2073,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.7993348347098711,1.0,0.7993348347098711,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2074,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.8264142102269523,1.0,0.8264142102269523,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2075,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.8543784528092039,1.0,0.8543784528092039,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2076,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.8836943534282149,1.0,0.8836943534282149,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2077,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.9136689489079836,1.0,0.9136689489079836,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2078,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.9445443183468702,1.0,0.9445443183468702,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2079,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.9766925545419223,1.0,0.9766925545419223,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2080,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.01094386905359,1.0,1.01094386905359,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2081,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.0480016654401976,1.0,1.0480016654401976,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2082,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.0863314573151812,1.0,1.0863314573151812,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2083,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.124769593216124,1.0,1.124769593216124,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2084,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.1628610625766733,1.0,1.1628610625766733,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2085,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.2002960404810268,1.0,1.2002960404810268,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2086,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.238219014112467,1.0,1.238219014112467,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2087,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.2759328389208202,1.0,1.2759328389208202,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2088,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.3134958222998945,1.0,1.3134958222998945,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2089,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.352500559153559,1.0,1.352500559153559,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2090,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.393429598878162,1.0,1.393429598878162,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2091,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.4377897217786437,1.0,1.4377897217786437,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2092,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.4855307888386187,1.0,1.4855307888386187,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2093,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.53580275088205,1.0,1.53580275088205,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2094,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.5872850972369432,1.0,1.5872850972369432,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2095,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.6378196208469546,1.0,1.6378196208469546,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
